Comment,Designator,Footprint,LCSC,Quantity
SW_Push,"SW1,SW2",SW_SPST_SKQG_WithStem,C116647,2
Conn_01x04,J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395,1
Conn_01x02,"J10,J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012,2
10uF,"C1,C2,C6",C_0805_2012Metric,C15850,3
USB_C_Receptacle,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
10nF,C14,C_0805_2012Metric,C1710,1
10K,"R10,R11,R12,R13,R14,R15,R16,R20,R21,R3",R_0805_2012Metric,C17414,10
150R,"R19,R5,R7,R9",R_0805_2012Metric,C17471,4
1K,"R4,R6,R8",R_0805_2012Metric,C17513,3
68R,R18,R_0805_2012Metric,C17802,1
5.1K,"R1,R2",R_0805_2012Metric,C27834,2
USBLC6-2SC6,U3,SOT-23-6,C2827654,1
1uF,"C11,C8",C_0805_2012Metric,C28323,2
1N5819,D1,D_SOD-123,C2891704,1
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913201,1
Relay_SPDT,"K1,K2,K3",Relay_SPDT_Finder_36.11,C35449,3
HLK-10M05,PS1,Converter_ACDC_HiLink_HLK-10Mxx,C403745,1
Conn_01x02,J2,TerminalBlock_bornier-2_P5.08mm,C409161,1
Conn_01x03,J3,TerminalBlock_bornier-3_P5.08mm,C409163,1
470R,"L1,L2",L_0603_1608Metric,C413961,2
Conn_01x02,J7,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C415432,1
22uF,C4,C_0805_2012Metric,C45783,1
0.1uF,"C10,C3,C5,C7,C9",C_0805_2012Metric,C49678,5
MAX31855EASA,U6,SOIC-8_3.9x4.9mm_P1.27mm,C52028,1
Conn_01x10,J6,PinHeader_1x10_P2.54mm_Vertical,C5383117,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
1N4148W,"D10,D6,D8",D_SOD-123,C81598,3
LED,"D11,D12,D5,D7,D9",LED_0805_2012Metric,C84256,5
MMBT2222A,"Q1,Q2,Q3",SOT-23,C916372,3
Conn_01x05,J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,,1
Conn_01x04,J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
