Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,194.0,-81.5,-90.0,top
C10,0.1uF,C_0805_2012Metric,172.3,-90.0,90.0,top
C11,1uF,C_0805_2012Metric,170.2,-30.1,90.0,top
C14,10nF,C_0805_2012Metric,172.3,-43.8,0.0,top
C2,10uF,C_0805_2012Metric,183.1,-30.1,90.0,top
C3,0.1uF,C_0805_2012Metric,180.9,-30.1,90.0,top
C4,22uF,C_0805_2012Metric,183.7,-41.9,-90.0,top
C5,0.1uF,C_0805_2012Metric,181.49,-41.9,-90.0,top
C6,10uF,C_0805_2012Metric,163.8,-90.0,-90.0,top
C7,0.1uF,C_0805_2012Metric,165.89,-90.0,-90.0,top
C8,1uF,C_0805_2012Metric,170.1,-90.0,90.0,top
C9,0.1uF,C_0805_2012Metric,174.5,-90.0,90.0,top
D1,1N5819,D_SOD-123,191.7,-81.8,-90.0,top
D10,1N4148W,D_SOD-123,205.3,-79.5,180.0,top
D11,LED,LED_0805_2012Metric,172.4,-30.1,-90.0,top
D12,LED,LED_0805_2012Metric,176.6,-30.1,-90.0,top
D5,LED,LED_0805_2012Metric,237.8,-83.4,0.0,top
D6,1N4148W,D_SOD-123,237.8,-79.5,180.0,top
D7,LED,LED_0805_2012Metric,221.9,-83.4,0.0,top
D8,1N4148W,D_SOD-123,221.9,-79.5,180.0,top
D9,LED,LED_0805_2012Metric,205.3,-83.4,0.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,190.4,-88.04,0.0,top
J10,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,193.4,-68.9,-90.0,top
J2,Conn_01x02,TerminalBlock_bornier-2_P5.08mm,241.7,-33.14,90.0,top
J3,Conn_01x03,TerminalBlock_bornier-3_P5.08mm,241.7,-47.46,90.0,top
J4,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,182.72,-59.0,0.0,top
J5,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,170.2,-51.7,0.0,top
J6,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,175.43,-65.1,-90.0,top
J7,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",166.9,-43.45,-90.0,top
J8,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,193.4,-60.35,-90.0,top
J9,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,168.95,-59.0,0.0,top
K1,Relay_SPDT,Relay_SPDT_Finder_36.11,238.8,-66.95,90.0,top
K2,Relay_SPDT,Relay_SPDT_Finder_36.11,222.1,-66.95,90.0,top
K3,Relay_SPDT,Relay_SPDT_Finder_36.11,205.3,-66.95,90.0,top
L1,470R,L_0603_1608Metric,172.1,-40.2,0.0,top
L2,470R,L_0603_1608Metric,172.1,-41.9,0.0,top
PS1,HLK-10M05,Converter_ACDC_HiLink_HLK-10Mxx,208.95,-41.2,180.0,top
Q1,MMBT2222A,SOT-23,232.0,-79.5,180.0,top
Q2,MMBT2222A,SOT-23,215.8,-79.5,180.0,top
Q3,MMBT2222A,SOT-23,199.5375,-79.5,180.0,top
R1,5.1K,R_0805_2012Metric,195.4,-78.7,0.0,top
R10,10K,R_0805_2012Metric,181.6,-46.9,-90.0,top
R11,10K,R_0805_2012Metric,183.7,-46.9,-90.0,top
R12,10K,R_0805_2012Metric,175.3,-46.9,-90.0,top
R13,10K,R_0805_2012Metric,177.4,-46.9,-90.0,top
R14,10K,R_0805_2012Metric,176.7,-90.0,-90.0,top
R15,10K,R_0805_2012Metric,178.9,-90.0,-90.0,top
R16,10K,R_0805_2012Metric,179.5,-46.9,-90.0,top
R18,68R,R_0805_2012Metric,174.5,-30.1,-90.0,top
R19,150R,R_0805_2012Metric,178.7,-30.1,-90.0,top
R2,5.1K,R_0805_2012Metric,196.2,-81.5,-90.0,top
R20,10K,R_0805_2012Metric,183.3,-90.0125,-90.0,top
R21,10K,R_0805_2012Metric,181.1,-90.0,-90.0,top
R3,10K,R_0805_2012Metric,168.0,-90.0,-90.0,top
R4,1K,R_0805_2012Metric,232.0,-83.4,180.0,top
R5,150R,R_0805_2012Metric,243.2,-83.4,0.0,top
R6,1K,R_0805_2012Metric,215.8,-83.4,180.0,top
R7,150R,R_0805_2012Metric,227.3,-83.4,0.0,top
R8,1K,R_0805_2012Metric,199.5375,-83.4,180.0,top
R9,150R,R_0805_2012Metric,210.7,-83.4,0.0,top
SW1,SW_Push,SW_SPST_SKQG_WithStem,205.5,-88.7,-90.0,top
SW2,SW_Push,SW_SPST_SKQG_WithStem,199.4,-88.7,-90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,173.61,-77.4,90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,179.9,-36.1,180.0,top
U3,USBLC6-2SC6,SOT-23-6,187.5,-82.5,180.0,top
U6,MAX31855EASA,SOIC-8_3.9x4.9mm_P1.27mm,169.9,-36.3,180.0,top
